responseCode,responseStatus,contentLength,serverIP,timingConnected,timingResponse,timingRequest,timingTransfer,location
200,OK,102400,104.21.71.190,0.099552,0.328982,0.329437,0.471010,accra
200,OK,102400,172.67.148.21,0.179761,1.227782,1.228638,1.358805,adelaide
200,OK,102400,172.67.148.21,0.005134,0.049605,0.050362,0.059554,albany
200,OK,102400,104.21.71.190,0.003082,0.033345,0.033594,0.038650,alblasserdam
200,OK,102400,104.21.71.190,0.021372,0.261122,0.261503,0.304756,albuquerque
200,OK,102400,172.67.148.21,0.070923,0.263518,0.264204,1.148580,algiers
200,OK,102400,172.67.148.21,0.095863,0.310623,0.310983,0.413626,almaty
200,OK,102400,104.21.71.190,0.003036,0.059236,0.059762,0.063505,amsterdam
200,OK,102400,172.67.148.21,0.067986,0.217885,0.218712,0.287660,ankara
200,OK,102400,172.67.148.21,0.009715,0.057641,0.058142,0.071820,antwerp
200,OK,102400,104.21.71.190,0.008221,0.053574,0.054017,0.070788,arezzo
200,OK,102400,172.67.148.21,0.006813,0.069805,0.070194,0.079737,asheville
200,OK,102400,104.21.71.190,0.002347,0.043230,0.043777,0.052744,athens
200,OK,102400,172.67.148.21,0.000966,0.044778,0.045099,0.048452,atlanta
200,OK,102400,104.21.71.190,0.035156,0.143457,0.144159,0.183671,auckland
200,OK,102400,172.67.148.21,0.006980,0.057974,0.058392,0.068062,austin
200,OK,102400,104.21.71.190,0.001737,0.051018,0.054419,0.062002,baku
200,OK,102400,172.67.148.21,0.003631,0.095916,0.096524,0.125958,baltimore
200,OK,102400,104.21.71.190,0.138069,0.438507,0.438727,0.586874,bangalore
200,OK,102400,104.21.71.190,0.028793,0.107960,0.108254,0.165935,bangkok
200,OK,102400,172.67.148.21,0.008541,0.053822,0.054006,0.063779,barcelona
200,OK,102400,104.21.71.190,0.019688,0.068194,0.068563,0.090644,basel
200,OK,102400,172.67.148.21,0.133417,0.593669,0.594080,1.330767,beirut
200,OK,102400,104.21.71.190,0.015045,0.066228,0.066533,0.093780,belfast
200,OK,102400,104.21.71.190,0.021375,0.099715,0.100279,0.124501,belgrade
200,OK,102400,172.67.148.21,0.010590,0.063449,0.063690,0.075027,bergen
200,OK,102400,104.21.71.190,0.007135,0.139310,0.144601,0.163380,berkeleysprings
200,OK,102400,172.67.148.21,0.009040,0.054845,0.054922,0.064466,berlin
200,OK,102400,172.67.148.21,0.007840,0.076220,0.077132,0.091242,bern
200,OK,102400,104.21.71.190,0.061374,0.214405,0.214565,0.278045,bogota
200,OK,102400,172.64.80.1,0.001024,0.040554,0.040894,0.053927,boston
200,OK,102400,104.21.71.190,0.001837,0.203139,0.203750,0.216617,brasilia
200,OK,102400,104.21.71.190,0.002332,0.037820,0.039454,0.047317,bratislava
200,OK,102400,172.67.148.21,0.015198,0.060341,0.060657,0.077828,brisbane
200,OK,102400,104.21.71.190,0.013574,0.136824,0.141333,0.193305,bristol
200,OK,102400,104.21.71.190,0.002924,0.178722,0.179034,0.183862,brno
200,OK,102400,172.67.148.21,0.017493,0.087905,0.088975,0.120333,brunswick
200,OK,102400,172.67.148.21,0.004990,0.037574,0.037927,0.045323,brussels
200,OK,102400,172.67.148.21,0.017322,0.143728,0.143968,0.163162,bucharest
200,OK,102400,172.67.148.21,0.004528,0.035141,0.035254,0.044021,budapest
200,OK,102400,172.67.148.21,0.126530,0.417802,0.418200,0.551164,buenosaires
200,OK,102400,172.64.80.1,0.015994,0.089652,0.090015,0.109670,buffalo
200,OK,102400,172.67.148.21,0.015611,0.071007,0.071651,0.090319,bursa
200,OK,102400,104.21.71.190,0.037825,0.148029,0.148650,0.318209,cairo
200,OK,102400,172.67.148.21,0.013286,0.068762,0.069638,0.094697,calgary
200,OK,102400,104.21.71.190,0.007980,0.052048,0.052788,0.063297,canberra
200,OK,102400,104.21.71.190,0.007372,0.247294,0.247712,0.255029,capetown
200,OK,102400,104.21.71.190,0.055106,0.223513,0.223962,0.282230,caracas
200,OK,102400,104.21.71.190,0.006853,0.050179,0.050752,0.061685,cardiff
200,OK,102400,104.21.71.190,0.004083,0.072911,0.073855,0.083051,carlow
200,OK,102400,104.21.71.190,0.006661,0.050493,0.050901,0.059713,charlotte
200,OK,102400,172.67.148.21,0.005505,0.109458,0.110182,0.121704,cheltenham
200,OK,102400,104.21.71.190,0.066012,0.224647,0.225047,0.314133,chennai
200,OK,102400,104.21.71.190,0.027713,0.108695,0.108925,0.138503,cheyenne
200,OK,102400,104.21.71.190,0.002848,0.043811,0.044127,0.049271,chicago
200,OK,102400,172.67.148.21,0.023283,0.108514,0.110401,0.136439,chisinau
200,OK,102400,172.67.148.21,0.016812,0.083857,0.084439,0.104256,christchurch
200,OK,102400,172.67.148.21,0.013817,0.061123,0.061739,0.076880,cincinnati
200,OK,102400,104.21.71.190,0.029773,0.104568,0.105180,0.135393,clark
200,OK,102400,172.64.80.1,0.011702,0.070553,0.071053,0.085205,cleveland
200,OK,102400,172.67.148.21,0.006140,0.042835,0.044081,0.053146,clujnapoca
